¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),«≥º”(m/s),«≥«‚(16πÊ¿ß),Ω¿µµ(%)
101,√·√µ,2012-08-14 22:00,26.5,0,0,83
101,√·√µ,2012-08-14 23:00,26.3,1,200,82
101,√·√µ,2012-08-15 00:00,25.1,1,360,95
101,√·√µ,2012-08-15 01:00,24.7,.5,70,95
101,√·√µ,2012-08-15 02:00,24.5,.2,0,96
101,√·√µ,2012-08-15 03:00,24.2,.9,140,96
101,√·√µ,2012-08-15 04:00,24.3,1.6,250,94
101,√·√µ,2012-08-15 05:00,24.7,2.8,180,89
101,√·√µ,2012-08-15 06:00,24.6,3.1,180,90
101,√·√µ,2012-08-15 07:00,24.7,2.1,180,92
101,√·√µ,2012-08-15 08:00,24.8,3.6,180,90
101,√·√µ,2012-08-15 09:00,24.9,3,180,87
101,√·√µ,2012-08-15 10:00,25.3,2.3,200,83
101,√·√µ,2012-08-15 11:00,26,3.3,180,80
101,√·√µ,2012-08-15 12:00,25.9,2.8,160,85
101,√·√µ,2012-08-15 13:00,24.8,2.8,180,95
101,√·√µ,2012-08-15 14:00,23.9,1.4,180,97
101,√·√µ,2012-08-15 15:00,23.6,2.4,160,97
101,√·√µ,2012-08-15 16:00,23.6,1.2,180,95
101,√·√µ,2012-08-15 17:00,23.5,1.1,140,97
101,√·√µ,2012-08-15 18:00,23.6,1,90,97
101,√·√µ,2012-08-15 19:00,23.9,.6,270,95
101,√·√µ,2012-08-15 20:00,23.9,.4,0,96
101,√·√µ,2012-08-15 21:00,23.6,1.5,200,91
101,√·√µ,2012-08-15 22:00,23.5,.6,90,88
101,√·√µ,2012-08-15 23:00,23.1,.4,0,90
101,√·√µ,2012-08-16 00:00,22.6,.6,50,95
101,√·√µ,2012-08-16 01:00,22.1,.9,290,97
101,√·√µ,2012-08-16 02:00,21.7,.4,0,97
101,√·√µ,2012-08-16 03:00,21.6,.3,0,97
101,√·√µ,2012-08-16 04:00,21.6,.2,0,98
101,√·√µ,2012-08-16 05:00,21.7,.3,0,98
101,√·√µ,2012-08-16 06:00,21.8,.4,0,97
101,√·√µ,2012-08-16 07:00,22,.1,0,97
101,√·√µ,2012-08-16 08:00,22.5,.8,340,94
101,√·√µ,2012-08-16 09:00,23.4,.3,0,85
101,√·√µ,2012-08-16 10:00,24.4,.4,0,80
101,√·√µ,2012-08-16 11:00,25.1,1,340,82
101,√·√µ,2012-08-16 12:00,25.6,.5,360,80
101,√·√µ,2012-08-16 13:00,26.7,.9,50,73
101,√·√µ,2012-08-16 14:00,27.6,.5,360,68
101,√·√µ,2012-08-16 15:00,28.3,.9,340,71
101,√·√µ,2012-08-16 16:00,28.4,.6,360,69
101,√·√µ,2012-08-16 17:00,27.7,2,250,79
101,√·√µ,2012-08-16 18:00,27.2,1.1,250,80
101,√·√µ,2012-08-16 19:00,26.7,1.5,70,76
101,√·√µ,2012-08-16 20:00,25.4,1.5,70,77
101,√·√µ,2012-08-16 21:00,24.8,1.8,70,76
101,√·√µ,2012-08-16 22:00,24.4,1.8,70,74
101,√·√µ,2012-08-16 23:00,24.1,.9,50,79
101,√·√µ,2012-08-17 00:00,23.4,.8,110,81
101,√·√µ,2012-08-17 01:00,22.7,.6,20,93
101,√·√µ,2012-08-17 02:00,22.4,1.2,360,92
101,√·√µ,2012-08-17 03:00,22.4,.9,340,92
101,√·√µ,2012-08-17 04:00,22.4,.5,90,89
101,√·√µ,2012-08-17 05:00,22.6,.2,0,90
101,√·√µ,2012-08-17 06:00,22.7,0,0,91
101,√·√µ,2012-08-17 07:00,22.8,1,360,91
101,√·√µ,2012-08-17 08:00,23.2,2.1,320,90
101,√·√µ,2012-08-17 09:00,23.6,.8,340,87
101,√·√µ,2012-08-17 10:00,24.3,1.4,320,82
101,√·√µ,2012-08-17 11:00,25.8,.9,360,74
101,√·√µ,2012-08-17 12:00,27.3,1.1,360,70
101,√·√µ,2012-08-17 13:00,28.9,.9,90,64
101,√·√µ,2012-08-17 14:00,30.3,1.4,250,63
101,√·√µ,2012-08-17 15:00,31.2,1.5,290,61
101,√·√µ,2012-08-17 16:00,31.2,.7,250,63
101,√·√µ,2012-08-17 17:00,31.7,1.5,230,61
101,√·√µ,2012-08-17 18:00,29.8,2.6,160,72
101,√·√µ,2012-08-17 19:00,29,1.4,200,73
101,√·√µ,2012-08-17 20:00,27.6,.9,290,92
101,√·√µ,2012-08-17 21:00,26.4,.7,110,95
101,√·√µ,2012-08-17 22:00,26,.4,0,96
101,√·√µ,2012-08-17 23:00,25.5,.5,90,97
101,√·√µ,2012-08-18 00:00,25.3,.2,0,97
101,√·√µ,2012-08-18 01:00,25.1,.2,0,97
101,√·√µ,2012-08-18 02:00,24.8,.3,0,97
101,√·√µ,2012-08-18 03:00,24.6,.4,0,97
101,√·√µ,2012-08-18 04:00,24.6,.2,0,97
101,√·√µ,2012-08-18 05:00,24.4,.5,70,97
101,√·√µ,2012-08-18 06:00,24.4,.3,0,98
101,√·√µ,2012-08-18 07:00,24.5,0,0,98
101,√·√µ,2012-08-18 08:00,24.9,.6,290,96
101,√·√µ,2012-08-18 09:00,25.6,.5,340,90
101,√·√µ,2012-08-18 10:00,26.7,1.2,340,86
101,√·√µ,2012-08-18 11:00,27.7,.8,320,79
101,√·√µ,2012-08-18 12:00,27.9,.9,290,82
101,√·√µ,2012-08-18 13:00,28,.6,360,85
101,√·√µ,2012-08-18 14:00,28.1,.7,270,83
101,√·√µ,2012-08-18 15:00,28,.2,0,85
101,√·√µ,2012-08-18 16:00,27.9,1.1,270,88
101,√·√µ,2012-08-18 17:00,27.8,.9,230,88
101,√·√µ,2012-08-18 18:00,27.8,.3,0,90
101,√·√µ,2012-08-18 19:00,27.5,1.2,180,84
101,√·√µ,2012-08-18 20:00,27.1,1.1,270,90
101,√·√µ,2012-08-18 21:00,26.5,.1,0,95
101,√·√µ,2012-08-18 22:00,26.1,.4,0,96
101,√·√µ,2012-08-18 23:00,25.9,.9,110,96
101,√·√µ,2012-08-19 00:00,25.6,.1,0,97
101,√·√µ,2012-08-19 01:00,25.4,.7,180,97
101,√·√µ,2012-08-19 02:00,26.3,1.8,180,83
101,√·√µ,2012-08-19 03:00,26.4,2.2,160,85
101,√·√µ,2012-08-19 04:00,26.2,2,160,87
101,√·√µ,2012-08-19 05:00,26,1.3,230,85
101,√·√µ,2012-08-19 06:00,25.4,.9,160,94
101,√·√µ,2012-08-19 07:00,25.3,.1,0,96
101,√·√µ,2012-08-19 08:00,26,.5,20,92
101,√·√µ,2012-08-19 09:00,26.6,.2,0,88
101,√·√µ,2012-08-19 10:00,27.7,2.5,180,78
101,√·√µ,2012-08-19 11:00,28.1,3,180,78
101,√·√µ,2012-08-19 12:00,28.7,2.6,180,77
101,√·√µ,2012-08-19 13:00,30,3,200,69
101,√·√µ,2012-08-19 14:00,30.7,2.2,180,66
101,√·√µ,2012-08-19 15:00,30,3.2,180,69
101,√·√µ,2012-08-19 16:00,29.8,2.1,180,73
101,√·√µ,2012-08-19 17:00,29.5,1.6,180,76
101,√·√µ,2012-08-19 18:00,29,1.6,250,77
101,√·√µ,2012-08-19 19:00,28.7,1.3,200,75
101,√·√µ,2012-08-19 20:00,28.4,1.3,180,78
101,√·√µ,2012-08-19 21:00,28,1.2,160,80
101,√·√µ,2012-08-19 22:00,26.9,.4,0,93
101,√·√µ,2012-08-19 23:00,26.5,.3,0,96
101,√·√µ,2012-08-20 00:00,26.1,.5,20,96
101,√·√µ,2012-08-20 01:00,26,.1,0,96
101,√·√µ,2012-08-20 02:00,25.8,.2,0,97
101,√·√µ,2012-08-20 03:00,25.5,.3,0,97
101,√·√µ,2012-08-20 04:00,25.4,.4,0,97
101,√·√µ,2012-08-20 05:00,25.4,1.9,160,97
101,√·√µ,2012-08-20 06:00,25.4,1.7,200,93
101,√·√µ,2012-08-20 07:00,25.2,1,180,89
101,√·√µ,2012-08-20 08:00,25.1,1.5,180,85
101,√·√µ,2012-08-20 09:00,25.2,1.4,340,93
101,√·√µ,2012-08-20 10:00,25.5,.6,20,89
101,√·√µ,2012-08-20 11:00,25.9,1.8,290,89
101,√·√µ,2012-08-20 12:00,26.4,.7,320,89
101,√·√µ,2012-08-20 13:00,25.8,.5,250,96
101,√·√µ,2012-08-20 14:00,25.7,1.4,200,95
101,√·√µ,2012-08-20 15:00,25.9,.7,250,95
101,√·√µ,2012-08-20 16:00,25.4,2.7,160,96
101,√·√µ,2012-08-20 17:00,25.7,2.1,180,89
101,√·√µ,2012-08-20 18:00,25.5,1.3,200,90
101,√·√µ,2012-08-20 19:00,25.1,1.2,180,94
101,√·√µ,2012-08-20 20:00,24.8,.3,0,97
101,√·√µ,2012-08-20 21:00,24.5,1.3,290,98
101,√·√µ,2012-08-20 22:00,24.4,.1,0,98
101,√·√µ,2012-08-20 23:00,24.2,1.3,160,97
101,√·√µ,2012-08-21 00:00,24,.6,90,97
101,√·√µ,2012-08-21 01:00,23.8,1.3,160,97
101,√·√µ,2012-08-21 02:00,23.5,3.2,160,97
101,√·√µ,2012-08-21 03:00,23.5,.7,140,98
101,√·√µ,2012-08-21 04:00,23.2,1.1,70,98
101,√·√µ,2012-08-21 05:00,23.1,0,0,98
101,√·√µ,2012-08-21 06:00,23.1,.5,360,98
101,√·√µ,2012-08-21 07:00,23,2.1,270,98
101,√·√µ,2012-08-21 08:00,23.2,.4,0,98
101,√·√µ,2012-08-21 09:00,23.8,.6,270,97
101,√·√µ,2012-08-21 10:00,24.2,.1,0,96
101,√·√µ,2012-08-21 11:00,25.5,.6,140,91
101,√·√µ,2012-08-21 12:00,26.8,1.1,250,79
101,√·√µ,2012-08-21 13:00,27.7,1.9,270,76
101,√·√µ,2012-08-21 14:00,27.8,1.6,250,75
101,√·√µ,2012-08-21 15:00,28,.6,250,76
101,√·√µ,2012-08-21 16:00,28.4,1.2,250,75
101,√·√µ,2012-08-21 17:00,29.2,1.5,270,71
101,√·√µ,2012-08-21 18:00,27.6,2,180,78
101,√·√µ,2012-08-21 19:00,26.6,1.8,160,78
101,√·√µ,2012-08-21 20:00,26.3,1.3,180,79
101,√·√µ,2012-08-21 21:00,25.8,1.1,230,83
101,√·√µ,2012-08-21 22:00,25.5,1.3,200,85
101,√·√µ,2012-08-21 23:00,25.3,1.3,200,86
101,√·√µ,2012-08-22 00:00,24.9,.1,0,95
101,√·√µ,2012-08-22 01:00,24.8,.8,160,89
101,√·√µ,2012-08-22 02:00,24.7,.4,0,90
101,√·√µ,2012-08-22 03:00,24.7,1.4,200,87
101,√·√µ,2012-08-22 04:00,24.8,1.8,180,84
101,√·√µ,2012-08-22 05:00,24.3,1.9,180,93
101,√·√µ,2012-08-22 06:00,24.1,1.6,180,92
101,√·√µ,2012-08-22 07:00,24.1,1.4,230,92
101,√·√µ,2012-08-22 08:00,23.4,1.9,250,93
101,√·√µ,2012-08-22 09:00,22.6,.4,0,93
101,√·√µ,2012-08-22 10:00,22.5,.1,0,91
101,√·√µ,2012-08-22 11:00,22.4,.7,160,93
101,√·√µ,2012-08-22 12:00,22.3,.7,200,85
101,√·√µ,2012-08-22 13:00,22.7,.6,270,84
101,√·√µ,2012-08-22 14:00,23.4,.9,160,77
101,√·√µ,2012-08-22 15:00,24.2,1,180,74
101,√·√µ,2012-08-22 16:00,25,1.8,250,76
101,√·√µ,2012-08-22 17:00,24.5,1.6,250,77
101,√·√µ,2012-08-22 18:00,23.9,1.6,250,81
101,√·√µ,2012-08-22 19:00,23.5,1,200,82
101,√·√µ,2012-08-22 20:00,22.8,.2,0,92
101,√·√µ,2012-08-22 21:00,22.2,.4,0,95
101,√·√µ,2012-08-22 22:00,21.6,1.5,320,95
101,√·√µ,2012-08-22 23:00,21.3,.4,0,94
101,√·√µ,2012-08-23 00:00,20.9,1.1,340,95
101,√·√µ,2012-08-23 01:00,20.9,.2,0,94
101,√·√µ,2012-08-23 02:00,21,1.1,360,93
101,√·√µ,2012-08-23 03:00,21.1,1.1,360,92
101,√·√µ,2012-08-23 04:00,21.8,2.7,20,78
101,√·√µ,2012-08-23 05:00,21.7,3.2,70,73
101,√·√µ,2012-08-23 06:00,21.1,1.2,20,82
101,√·√µ,2012-08-23 07:00,20.9,2.1,50,75
101,√·√µ,2012-08-23 08:00,20.8,1.5,20,77
101,√·√µ,2012-08-23 09:00,21,1.9,70,71
101,√·√µ,2012-08-23 10:00,21,1.5,360,79
101,√·√µ,2012-08-23 11:00,21.5,1.2,70,71
101,√·√µ,2012-08-23 12:00,22,1.7,20,68
101,√·√µ,2012-08-23 13:00,22.4,2,50,69
101,√·√µ,2012-08-23 14:00,22.8,1.4,20,71
101,√·√µ,2012-08-23 15:00,23.9,2.3,50,68
101,√·√µ,2012-08-23 16:00,24.7,2.2,50,62
101,√·√µ,2012-08-23 17:00,24.3,1.5,50,68
101,√·√µ,2012-08-23 18:00,23.6,1.5,50,70
101,√·√µ,2012-08-23 19:00,22.9,1.1,50,75
101,√·√µ,2012-08-23 20:00,21.7,.6,360,83
101,√·√µ,2012-08-23 21:00,20.8,.7,20,90
101,√·√µ,2012-08-23 22:00,20.1,1,340,91
101,√·√µ,2012-08-23 23:00,19.5,.5,20,92
101,√·√µ,2012-08-24 00:00,18.9,1,360,95
101,√·√µ,2012-08-24 01:00,18.8,1.4,360,95
101,√·√µ,2012-08-24 02:00,18.5,1.5,360,95
101,√·√µ,2012-08-24 03:00,18.4,1.3,360,95
101,√·√µ,2012-08-24 04:00,18.5,1.6,360,95
101,√·√µ,2012-08-24 05:00,18.6,1.3,360,94
101,√·√µ,2012-08-24 06:00,18.7,1.1,360,93
101,√·√µ,2012-08-24 07:00,18.9,1.7,360,89
101,√·√µ,2012-08-24 08:00,19.8,2.1,360,84
101,√·√µ,2012-08-24 09:00,21.3,1.9,340,76
101,√·√µ,2012-08-24 10:00,21.7,2.2,360,74
101,√·√µ,2012-08-24 11:00,21.8,1.3,360,76
101,√·√µ,2012-08-24 12:00,22.7,1.7,50,67
101,√·√µ,2012-08-24 13:00,23.5,1.4,50,70
101,√·√µ,2012-08-24 14:00,24.2,1.6,20,71
101,√·√µ,2012-08-24 15:00,24.2,1.1,50,75
101,√·√µ,2012-08-24 16:00,23.9,1.4,360,78
101,√·√µ,2012-08-24 17:00,24.3,1,20,74
101,√·√µ,2012-08-24 18:00,23.9,1,20,76
101,√·√µ,2012-08-24 19:00,23.5,1,50,77
101,√·√µ,2012-08-24 20:00,22.9,.7,50,80
101,√·√µ,2012-08-24 21:00,22.6,1.2,20,80
