¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),«≥º”(m/s),Ω¿µµ(%)
101,√·√µ,2009-07-17 15:00,26.2,.8,71
101,√·√µ,2009-07-17 16:00,26.1,1.1,61
101,√·√µ,2009-07-17 17:00,25.8,1.6,70
101,√·√µ,2009-07-17 18:00,25.1,.9,78
101,√·√µ,2009-07-17 19:00,24.1,.9,89
101,√·√µ,2009-07-17 20:00,23.4,.7,94
101,√·√µ,2009-07-17 21:00,23.4,0,95
101,√·√µ,2009-07-17 22:00,23.1,0,95
101,√·√µ,2009-07-17 23:00,23,.1,95
101,√·√µ,2009-07-18 00:00,22.6,1.1,95
101,√·√µ,2009-07-18 01:00,22.7,0,95
101,√·√µ,2009-07-18 02:00,22.8,.2,95
101,√·√µ,2009-07-18 03:00,22.9,.4,95
101,√·√µ,2009-07-18 04:00,24.7,2.5,95
101,√·√µ,2009-07-18 05:00,25.8,2.9,83
101,√·√µ,2009-07-18 06:00,25.7,2.6,83
101,√·√µ,2009-07-18 07:00,26.1,2.6,78
101,√·√µ,2009-07-18 08:00,26.4,2.6,75
101,√·√µ,2009-07-18 09:00,27.2,3.9,70
101,√·√µ,2009-07-18 10:00,27.1,3.1,72
101,√·√µ,2009-07-18 11:00,27.3,2.7,72
101,√·√µ,2009-07-18 12:00,27.2,4.2,76
101,√·√µ,2009-07-18 13:00,25.8,1.3,89
101,√·√µ,2009-07-18 14:00,26,1.9,88
101,√·√µ,2009-07-18 15:00,25.8,1.9,89
101,√·√µ,2009-07-18 16:00,25.9,4,88
101,√·√µ,2009-07-18 17:00,25.9,3.4,88
101,√·√µ,2009-07-18 18:00,25.6,2.9,89
101,√·√µ,2009-07-18 19:00,25.7,1.7,87
101,√·√µ,2009-07-18 20:00,25.4,1.9,88
101,√·√µ,2009-07-18 21:00,25.5,3.7,86
101,√·√µ,2009-07-18 22:00,25.7,3.6,82
101,√·√µ,2009-07-18 23:00,25.1,1.7,84
101,√·√µ,2009-07-19 00:00,24.4,2.8,89
101,√·√µ,2009-07-19 01:00,24.5,1.6,83
101,√·√µ,2009-07-19 02:00,23.6,2.8,83
101,√·√µ,2009-07-19 03:00,23.2,2.3,85
101,√·√µ,2009-07-19 04:00,22.8,1.6,88
101,√·√µ,2009-07-19 05:00,22.6,1,89
101,√·√µ,2009-07-19 06:00,22.7,.7,88
101,√·√µ,2009-07-19 07:00,22.9,.7,86
101,√·√µ,2009-07-19 08:00,23.3,1.5,83
101,√·√µ,2009-07-19 09:00,23.7,1.6,82
101,√·√µ,2009-07-19 10:00,24.2,1,80
101,√·√µ,2009-07-19 11:00,25.3,1.9,74
101,√·√µ,2009-07-19 12:00,26.3,1.5,71
101,√·√µ,2009-07-19 13:00,26.9,1.1,67
101,√·√µ,2009-07-19 14:00,27.9,1.2,64
101,√·√µ,2009-07-19 15:00,29.1,1.7,57
101,√·√µ,2009-07-19 16:00,29.4,1.5,57
101,√·√µ,2009-07-19 17:00,29.2,1.5,59
101,√·√µ,2009-07-19 18:00,28.8,1.4,62
101,√·√µ,2009-07-19 19:00,27.9,1.3,66
101,√·√µ,2009-07-19 20:00,26.5,1.1,79
101,√·√µ,2009-07-19 21:00,25.1,.4,89
101,√·√µ,2009-07-19 22:00,24,.3,93
101,√·√µ,2009-07-19 23:00,23.1,1,94
101,√·√µ,2009-07-20 00:00,22.9,0,95
101,√·√µ,2009-07-20 01:00,22.1,.8,95
101,√·√µ,2009-07-20 02:00,22,0,95
101,√·√µ,2009-07-20 03:00,22.3,.4,95
101,√·√µ,2009-07-20 04:00,22,.2,95
101,√·√µ,2009-07-20 05:00,22.1,.1,95
101,√·√µ,2009-07-20 06:00,22.3,0,95
101,√·√µ,2009-07-20 07:00,22.7,.6,93
101,√·√µ,2009-07-20 08:00,23.3,1.1,92
101,√·√µ,2009-07-20 09:00,24.4,1.3,86
101,√·√µ,2009-07-20 10:00,25,1.9,79
