일자|시간|구분,공급량
2019-01-01 01 A,1729.2088832035324
2019-01-01 02 A,1552.7610831584245
2019-01-01 03 A,1465.3857557837482
2019-01-01 04 A,1483.3475056217806
2019-01-01 05 A,1581.0135996322774
2019-01-01 06 A,1741.884995690634
2019-01-01 07 A,1942.6250555874649
2019-01-01 08 A,2351.2519096535366
2019-01-01 09 A,2402.998936439551
2019-01-01 10 A,2386.4976420282055
2019-01-01 11 A,2247.1829557439505
2019-01-01 12 A,2126.617277126524
2019-01-01 13 A,1969.1260994695463
2019-01-01 14 A,1877.8579755180576
2019-01-01 15 A,1769.7896365811373
2019-01-01 16 A,1681.5615682214402
2019-01-01 17 A,1700.7611068681667
2019-01-01 18 A,1992.3047616433196
2019-01-01 19 A,2278.326789681889
2019-01-01 20 A,2344.341483070006
2019-01-01 21 A,2252.3450044000488
2019-01-01 22 A,2132.8113950770608
2019-01-01 23 A,2055.9857521721897
2019-01-01 24 A,1938.266527977752
2019-01-02 01 A,1745.3948287774942
2019-01-02 02 A,1499.3137094800309
2019-01-02 03 A,1427.7882419202972
2019-01-02 04 A,1430.6862920015164
2019-01-02 05 A,1608.9310600035344
2019-01-02 06 A,1789.1308669866032
2019-01-02 07 A,2018.9387047203368
2019-01-02 08 A,2541.0413425669526
2019-01-02 09 A,2629.2277201263
2019-01-02 10 A,2496.72717206582
2019-01-02 11 A,2420.6698656411927
2019-01-02 12 A,2249.5098007200554
2019-01-02 13 A,2080.913637895466
2019-01-02 14 A,1970.5201407276886
2019-01-02 15 A,1880.8840761699591
2019-01-02 16 A,1823.806104906473
2019-01-02 17 A,1843.0056435531994
2019-01-02 18 A,2111.2008139947175
2019-01-02 19 A,2417.84656449825
2019-01-02 20 A,2465.737186096824
2019-01-02 21 A,2409.325073054622
2019-01-02 22 A,2294.85740108911
2019-01-02 23 A,2239.8483777357933
2019-01-02 24 A,2104.643252480169
2019-01-03 01 A,1813.533220990871
2019-01-03 02 A,1576.4083137323603
2019-01-03 03 A,1489.032986357684
2019-01-03 04 A,1546.4829319853245
2019-01-03 05 A,1722.1256205565453
2019-01-03 06 A,1886.417882924928
2019-01-03 07 A,2161.3124237567063
2019-01-03 08 A,2655.193979143435
2019-01-03 09 A,2712.8331555918994
2019-01-03 10 A,2600.4858503515
2019-01-03 11 A,2448.3904076700182
2019-01-03 12 A,2244.251509704887
2019-01-03 13 A,2070.146279404455
2019-01-03 14 A,1959.7527822366776
2019-01-03 15 A,1870.1167176789481
2019-01-03 16 A,1813.038746415462
2019-01-03 17 A,1832.2382850621884
2019-01-03 18 A,2064.071958580569
2019-01-03 19 A,2407.079206007239
2019-01-03 20 A,2409.8158592175396
2019-01-03 21 A,2380.5900674611844
2019-01-03 22 A,2282.2414704216376
2019-01-03 23 A,2182.660889581867
2019-01-03 24 A,2046.1911880052876
2019-01-04 01 A,1739.2231473067582
2019-01-04 02 A,1493.1420280092948
2019-01-04 03 A,1437.119214068451
2019-01-04 04 A,1441.862584532498
2019-01-04 05 A,1620.594200947612
2019-01-04 06 A,1771.848869309993
2019-01-04 07 A,2001.6567070437266
2019-01-04 08 A,2554.3065460012263
2019-01-04 09 A,2611.9457224496905
2019-01-04 10 A,2533.3810651087088
2019-01-04 11 A,2403.387867964583
2019-01-04 12 A,2242.102014167023
2019-01-04 13 A,2073.5058513424333
2019-01-04 14 A,1939.7017605270537
2019-01-04 15 A,1772.62078262016
2019-01-04 16 A,1754.437739075438
2019-01-04 17 A,1769.6737237589844
2019-01-04 18 A,2067.5101993238536
2019-01-04 19 A,2401.511815172577
2019-01-04 20 A,2464.2825020861796
2019-01-04 21 A,2366.307887350058
2019-01-04 22 A,2245.953984022864
2019-01-04 23 A,2198.486018048872
2019-01-04 24 A,2073.653565965589
2019-01-05 01 A,1803.5544460550748
2019-01-05 02 A,1551.3658390397509
2019-01-05 03 A,1500.363947554741
2019-01-05 04 A,1503.2619976359601
2019-01-05 05 A,1661.8541543166616
2019-01-05 06 A,1740.931763487782
2019-01-05 07 A,1844.782093189905
2019-01-05 08 A,2110.309967652483
2019-01-05 09 A,2287.259669246166
2019-01-05 10 A,2342.8917325826956
2019-01-05 11 A,2237.695783753814
2019-01-05 12 A,2077.57826854641
2019-01-05 13 A,1959.372613592628
2019-01-05 14 A,1812.2489027185572
2019-01-05 15 A,1679.337204460948
2019-01-05 16 A,1657.9936601561308
2019-01-05 17 A,1673.2296448396771
2019-01-05 18 A,1906.1777558487586
2019-01-05 19 A,2211.6779364783893
2019-01-05 20 A,2238.594479733069
2019-01-05 21 A,2131.0208939203053
2019-01-05 22 A,2033.7823802914152
2019-01-05 23 A,1996.2302677451407
2019-01-05 24 A,1869.242535098076
2019-01-06 01 A,1649.7827677275563
2019-01-06 02 A,1424.219017666688
2019-01-06 03 A,1384.7450535438916
2019-01-06 04 A,1405.257971279781
2019-01-06 05 A,1524.6873815401018
2019-01-06 06 A,1611.348595221693
2019-01-06 07 A,1667.636193163111
2019-01-06 08 A,1966.6373063481801
2019-01-06 09 A,2147.44082477228
2019-01-06 10 A,2231.8375818474246
2019-01-06 11 A,2105.2548391310133
2019-01-06 12 A,1981.4988150959896
2019-01-06 13 A,1867.3291491759214
2019-01-06 14 A,1736.6468422692676
2019-01-06 15 A,1676.8959974068177
2019-01-06 16 A,1615.137460184185
2019-01-06 17 A,1637.4169674747902
2019-01-06 18 A,1919.4177697730847
2019-01-06 19 A,2224.134355843792
2019-01-06 20 A,2280.9493533358145
2019-01-06 21 A,2198.7991155723626
2019-01-06 22 A,2125.9779829795266
2019-01-06 23 A,2045.7557958907908
2019-01-06 24 A,1929.51943246182
2019-01-07 01 A,1711.10308295986
2019-01-07 02 A,1471.4692983751834
2019-01-07 03 A,1445.5071942357897
2019-01-07 04 A,1445.5071942357897
2019-01-07 05 A,1641.860739293453
2019-01-07 06 A,1817.018911916798
2019-01-07 07 A,2050.713787938005
2019-01-07 08 A,2591.610177768692
2019-01-07 09 A,2649.2493542171565
2019-01-07 10 A,2540.102663863667
2019-01-07 11 A,2409.6654676172957
2019-01-07 12 A,2211.0830780433553
2019-01-07 13 A,2058.265350611149
2019-01-07 14 A,1941.5790326536546
2019-01-07 15 A,1823.3830839353639
2019-01-07 16 A,1801.157817622155
2019-01-07 17 A,1820.3573562688816
2019-01-07 18 A,2044.1100337925468
2019-01-07 19 A,2390.085386927026
2019-01-07 20 A,2392.8220401373264
2019-01-07 21 A,2345.9795298556432
2019-01-07 22 A,2262.947842852673
2019-01-07 23 A,2142.0549210986583
2019-01-07 24 A,2017.4318823194633
2019-01-08 01 A,1693.9229688049622
2019-01-08 02 A,1447.8418495074989
2019-01-08 03 A,1376.3163819477652
2019-01-08 04 A,1379.2144320289844
2019-01-08 05 A,1524.3584906774988
2019-01-08 06 A,1667.2284605286807
2019-01-08 07 A,1936.6216770778638
2019-01-08 08 A,2412.9645279819606
2019-01-08 09 A,2470.603704430425
2019-01-08 10 A,2372.127832453422
2019-01-08 11 A,2310.4711872156904
2019-01-08 12 A,2112.8051735904946
2019-01-08 13 A,2032.9196905736237
2019-01-08 14 A,1912.7554599654404
2019-01-08 15 A,1794.5595112471497
2019-01-08 16 A,1772.334244933941
2019-01-08 17 A,1791.5337835806674
2019-01-08 18 A,2022.280767559917
2019-01-08 19 A,2365.288014986587
2019-01-08 20 A,2430.79535511049
