일자|시간|구분,공급량
2019-01-01 01 A,2406.9539147826613
2019-01-01 02 A,2404.082988981436
2019-01-01 03 A,2384.2658455024844
2019-01-01 04 A,2373.357654221987
2019-01-01 05 A,2454.7177687636504
2019-01-01 06 A,2423.438327297502
2019-01-01 07 A,2458.5229135510417
2019-01-01 08 A,2526.720503278777
2019-01-01 09 A,2545.708944087074
2019-01-01 10 A,2404.5106703365186
2019-01-01 11 A,2430.78490967994
2019-01-01 12 A,2298.9918116161825
2019-01-01 13 A,2249.0124906607207
2019-01-01 14 A,2181.907625470499
2019-01-01 15 A,2109.0014563709155
2019-01-01 16 A,2073.8471332739755
2019-01-01 17 A,2133.960177197053
2019-01-01 18 A,2234.506347575309
2019-01-01 19 A,2266.1637767747134
2019-01-01 20 A,2245.2510963362256
2019-01-01 21 A,2253.422313422164
2019-01-01 22 A,2180.5980397185317
2019-01-01 23 A,2217.2321726970695
2019-01-01 24 A,2226.0294694091003
2019-01-02 01 A,2245.8219185692324
2019-01-02 02 A,2291.4397990446582
2019-01-02 03 A,2344.56932313987
2019-01-02 04 A,2361.0312350324857
2019-01-02 05 A,2377.2376267434142
2019-01-02 06 A,2365.4945749590256
2019-01-02 07 A,2339.6975932217883
2019-01-02 08 A,2389.175487956037
2019-01-02 09 A,2215.33588083507
2019-01-02 10 A,2407.9329283523975
2019-01-02 11 A,2497.677167589172
2019-01-02 12 A,2249.724127049922
2019-01-02 13 A,2139.698594087331
2019-01-02 14 A,2024.45368717862
2019-01-02 15 A,1966.6373906201668
2019-01-02 16 A,2008.0231344240397
2019-01-02 17 A,2036.197231906434
2019-01-02 18 A,2144.455140206833
2019-01-02 19 A,2231.343931635521
2019-01-02 20 A,2276.095455434026
2019-01-02 21 A,2326.6823891084805
2019-01-02 22 A,2358.897152577497
2019-01-02 23 A,2425.53839761396
2019-01-02 24 A,2369.0190814821735
2019-01-03 01 A,2323.7931805552334
2019-01-03 02 A,2284.160999218015
2019-01-03 03 A,2295.247651373982
2019-01-03 04 A,2272.794415915786
2019-01-03 05 A,2341.4879935314643
2019-01-03 06 A,2365.7918451543865
2019-01-03 07 A,2277.750801328755
2019-01-03 08 A,2351.4378406342285
2019-01-03 09 A,2383.575054744305
2019-01-03 10 A,2288.222749616927
2019-01-03 11 A,2470.3837185839398
2019-01-03 12 A,2323.814259231671
2019-01-03 13 A,2205.1222394441656
2019-01-03 14 A,2043.4481495408622
2019-01-03 15 A,2036.8546935017016
2019-01-03 16 A,2050.5944049898253
2019-01-03 17 A,2093.9642465648108
2019-01-03 18 A,2223.049491281612
2019-01-03 19 A,2326.7840778451773
2019-01-03 20 A,2300.813834683474
2019-01-03 21 A,2246.4969744209793
2019-01-03 22 A,2309.470123652007
2019-01-03 23 A,2356.1137960516858
2019-01-03 24 A,2274.4769242494185
2019-01-04 01 A,2200.9242934163203
2019-01-04 02 A,2252.6984416528812
2019-01-04 03 A,2244.4398435270136
2019-01-04 04 A,2236.1078527282543
2019-01-04 05 A,2215.559490238841
2019-01-04 06 A,2235.2338717860757
2019-01-04 07 A,2236.748060934524
2019-01-04 08 A,2249.393454415158
2019-01-04 09 A,2326.905831825833
2019-01-04 10 A,2251.3957530672988
2019-01-04 11 A,2310.4925679220905
2019-01-04 12 A,2154.5220082275528
2019-01-04 13 A,2090.4015297057163
2019-01-04 14 A,2047.5744860068894
2019-01-04 15 A,1973.334349902805
2019-01-04 16 A,1947.0699733251017
2019-01-04 17 A,1980.9433646360837
2019-01-04 18 A,2150.836740245686
2019-01-04 19 A,2265.898544619552
2019-01-04 20 A,2146.77342279626
2019-01-04 21 A,2206.235975294918
2019-01-04 22 A,2259.9861511946046
2019-01-04 23 A,2257.9392897367293
2019-01-04 24 A,2249.759398517297
2019-01-05 01 A,2112.552141525822
2019-01-05 02 A,2096.2462341337487
2019-01-05 03 A,2054.9873970877707
2019-01-05 04 A,2149.8416103644686
2019-01-05 05 A,2170.5241691321758
2019-01-05 06 A,2163.589627919485
2019-01-05 07 A,2178.9620116334313
2019-01-05 08 A,2192.696290271931
2019-01-05 09 A,2179.5576944054656
2019-01-05 10 A,2146.037892614836
2019-01-05 11 A,2263.440770538399
2019-01-05 12 A,2178.481910641205
2019-01-05 13 A,2062.601229567776
2019-01-05 14 A,1947.7532092959186
2019-01-05 15 A,1876.6070566719732
2019-01-05 16 A,1876.2778424320122
2019-01-05 17 A,1908.0440327130118
2019-01-05 18 A,1989.965591525009
2019-01-05 19 A,2097.1492250517595
2019-01-05 20 A,2086.4832340661205
2019-01-05 21 A,2011.8416779921492
2019-01-05 22 A,2034.8488620766318
2019-01-05 23 A,2032.479837986109
2019-01-05 24 A,2079.320511342723
2019-01-06 01 A,2051.876082017173
2019-01-06 02 A,2057.2820098659586
2019-01-06 03 A,1979.6559916272106
2019-01-06 04 A,2049.41267882574
2019-01-06 05 A,2105.6507101126103
2019-01-06 06 A,2137.8433963005627
2019-01-06 07 A,2194.5431934001563
2019-01-06 08 A,2103.1274881968993
2019-01-06 09 A,2049.0004146662063
2019-01-06 10 A,2090.8952872307473
2019-01-06 11 A,2230.438702565195
2019-01-06 12 A,2053.0829455523462
2019-01-06 13 A,1978.6739425610986
2019-01-06 14 A,1872.880673735865
2019-01-06 15 A,1848.0476422965999
2019-01-06 16 A,1844.1393770232955
2019-01-06 17 A,1851.786654273686
2019-01-06 18 A,1977.79804221227
2019-01-06 19 A,2055.6117496230495
2019-01-06 20 A,2050.561143908016
2019-01-06 21 A,2057.606634153357
2019-01-06 22 A,2083.621166724471
2019-01-06 23 A,2044.882611631058
2019-01-06 24 A,2042.411689802934
2019-01-07 01 A,2334.017452802733
2019-01-07 02 A,2264.4034279230377
2019-01-07 03 A,2274.4902561100334
2019-01-07 04 A,2341.1729847364245
2019-01-07 05 A,2370.8415968756944
2019-01-07 06 A,2370.105978902796
2019-01-07 07 A,2430.175139526352
2019-01-07 08 A,2380.5273654992434
2019-01-07 09 A,2443.5155905251872
2019-01-07 10 A,2319.5738273461466
2019-01-07 11 A,2480.1404195691944
2019-01-07 12 A,2373.830631417659
2019-01-07 13 A,2250.390273494211
