일자|시간|구분,공급량
2019-01-01 01 A,1900.36163826168
2019-01-01 02 A,1900.36163826168
2019-01-01 03 A,1900.36163826168
2019-01-01 04 A,1900.36163826168
2019-01-01 05 A,1900.36163826168
2019-01-01 06 A,1900.36163826168
2019-01-01 07 A,1900.36163826168
2019-01-01 08 A,1900.36163826168
2019-01-01 09 A,1900.36163826168
2019-01-01 10 A,1900.36163826168
2019-01-01 11 A,1900.36163826168
2019-01-01 12 A,1900.36163826168
2019-01-01 13 A,1900.36163826168
2019-01-01 14 A,1900.36163826168
2019-01-01 15 A,1900.36163826168
2019-01-01 16 A,1900.36163826168
2019-01-01 17 A,1900.36163826168
2019-01-01 18 A,1900.36163826168
2019-01-01 19 A,1900.36163826168
2019-01-01 20 A,1900.36163826168
2019-01-01 21 A,1900.36163826168
2019-01-01 22 A,1900.36163826168
2019-01-01 23 A,1900.36163826168
2019-01-01 24 A,1900.36163826168
2019-01-02 01 A,1900.36163826168
2019-01-02 02 A,1900.36163826168
2019-01-02 03 A,1900.36163826168
2019-01-02 04 A,1900.36163826168
2019-01-02 05 A,1900.36163826168
2019-01-02 06 A,1900.36163826168
2019-01-02 07 A,1900.36163826168
2019-01-02 08 A,1900.36163826168
2019-01-02 09 A,1900.36163826168
2019-01-02 10 A,1900.36163826168
2019-01-02 11 A,1900.36163826168
2019-01-02 12 A,1900.36163826168
2019-01-02 13 A,1900.36163826168
2019-01-02 14 A,1900.36163826168
2019-01-02 15 A,1900.36163826168
2019-01-02 16 A,1900.36163826168
2019-01-02 17 A,1900.36163826168
2019-01-02 18 A,1900.36163826168
2019-01-02 19 A,1900.36163826168
2019-01-02 20 A,1900.36163826168
2019-01-02 21 A,1900.36163826168
2019-01-02 22 A,1900.36163826168
2019-01-02 23 A,1900.36163826168
2019-01-02 24 A,1900.36163826168
2019-01-03 01 A,1900.36163826168
2019-01-03 02 A,1900.36163826168
2019-01-03 03 A,1900.36163826168
2019-01-03 04 A,1900.36163826168
2019-01-03 05 A,1900.36163826168
2019-01-03 06 A,1900.36163826168
2019-01-03 07 A,1900.36163826168
2019-01-03 08 A,1900.36163826168
2019-01-03 09 A,1900.36163826168
2019-01-03 10 A,1900.36163826168
2019-01-03 11 A,1900.36163826168
2019-01-03 12 A,1900.36163826168
2019-01-03 13 A,1900.36163826168
2019-01-03 14 A,1900.36163826168
2019-01-03 15 A,1900.36163826168
2019-01-03 16 A,1900.36163826168
2019-01-03 17 A,1900.36163826168
2019-01-03 18 A,1900.36163826168
2019-01-03 19 A,1900.36163826168
2019-01-03 20 A,1900.36163826168
2019-01-03 21 A,1900.36163826168
2019-01-03 22 A,1900.36163826168
2019-01-03 23 A,1900.36163826168
2019-01-03 24 A,1900.36163826168
2019-01-04 01 A,1854.5673591081047
2019-01-04 02 A,1854.5673591081047
2019-01-04 03 A,1854.5673591081047
2019-01-04 04 A,1854.5673591081047
2019-01-04 05 A,1854.5673591081047
2019-01-04 06 A,1854.5673591081047
2019-01-04 07 A,1854.5673591081047
2019-01-04 08 A,1854.5673591081047
2019-01-04 09 A,1854.5673591081047
2019-01-04 10 A,1854.5673591081047
2019-01-04 11 A,1854.5673591081047
2019-01-04 12 A,1854.5673591081047
2019-01-04 13 A,1854.5673591081047
2019-01-04 14 A,1854.5673591081047
2019-01-04 15 A,1854.5673591081047
2019-01-04 16 A,1854.5673591081047
2019-01-04 17 A,1854.5673591081047
2019-01-04 18 A,1854.5673591081047
2019-01-04 19 A,1854.5673591081047
2019-01-04 20 A,1854.5673591081047
2019-01-04 21 A,1854.5673591081047
2019-01-04 22 A,1854.5673591081047
2019-01-04 23 A,1854.5673591081047
2019-01-04 24 A,1854.5673591081047
2019-01-05 01 A,1815.7861350469368
2019-01-05 02 A,1815.7861350469368
2019-01-05 03 A,1815.7861350469368
2019-01-05 04 A,1815.7861350469368
2019-01-05 05 A,1815.7861350469368
2019-01-05 06 A,1815.7861350469368
2019-01-05 07 A,1815.7861350469368
2019-01-05 08 A,1815.7861350469368
2019-01-05 09 A,1815.7861350469368
2019-01-05 10 A,1815.7861350469368
2019-01-05 11 A,1815.7861350469368
2019-01-05 12 A,1815.7861350469368
2019-01-05 13 A,1815.7861350469368
2019-01-05 14 A,1815.7861350469368
2019-01-05 15 A,1815.7861350469368
2019-01-05 16 A,1815.7861350469368
2019-01-05 17 A,1815.7861350469368
2019-01-05 18 A,1815.7861350469368
2019-01-05 19 A,1815.7861350469368
2019-01-05 20 A,1815.7861350469368
2019-01-05 21 A,1815.7861350469368
2019-01-05 22 A,1815.7861350469368
2019-01-05 23 A,1815.7861350469368
2019-01-05 24 A,1815.7861350469368
2019-01-06 01 A,1828.0727634802454
2019-01-06 02 A,1828.0727634802454
2019-01-06 03 A,1828.0727634802454
2019-01-06 04 A,1828.0727634802454
2019-01-06 05 A,1828.0727634802454
2019-01-06 06 A,1828.0727634802454
2019-01-06 07 A,1828.0727634802454
2019-01-06 08 A,1828.0727634802454
2019-01-06 09 A,1828.0727634802454
2019-01-06 10 A,1828.0727634802454
2019-01-06 11 A,1828.0727634802454
2019-01-06 12 A,1828.0727634802454
2019-01-06 13 A,1828.0727634802454
2019-01-06 14 A,1828.0727634802454
2019-01-06 15 A,1828.0727634802454
2019-01-06 16 A,1828.0727634802454
2019-01-06 17 A,1828.0727634802454
2019-01-06 18 A,1828.0727634802454
2019-01-06 19 A,1828.0727634802454
2019-01-06 20 A,1828.0727634802454
2019-01-06 21 A,1828.0727634802454
2019-01-06 22 A,1828.0727634802454
2019-01-06 23 A,1828.0727634802454
2019-01-06 24 A,1828.0727634802454
2019-01-07 01 A,1931.9116168426135
2019-01-07 02 A,1931.9116168426135
2019-01-07 03 A,1931.9116168426135
2019-01-07 04 A,1931.9116168426135
2019-01-07 05 A,1931.9116168426135
2019-01-07 06 A,1931.9116168426135
2019-01-07 07 A,1931.9116168426135
2019-01-07 08 A,1931.9116168426135
2019-01-07 09 A,1931.9116168426135
2019-01-07 10 A,1931.9116168426135
2019-01-07 11 A,1931.9116168426135
2019-01-07 12 A,1931.9116168426135
2019-01-07 13 A,1931.9116168426135
2019-01-07 14 A,1931.9116168426135
2019-01-07 15 A,1931.9116168426135
2019-01-07 16 A,1931.9116168426135
2019-01-07 17 A,1931.9116168426135
2019-01-07 18 A,1931.9116168426135
2019-01-07 19 A,1931.9116168426135
2019-01-07 20 A,1931.9116168426135
2019-01-07 21 A,1931.9116168426135
2019-01-07 22 A,1931.9116168426135
2019-01-07 23 A,1931.9116168426135
2019-01-07 24 A,1931.9116168426135
2019-01-08 01 A,2062.1349255415876
2019-01-08 02 A,2062.1349255415876
