일자|시간|구분,공급량
2019-01-01 01 A,2293.6494
2019-01-01 02 A,2112.3274
2019-01-01 03 A,1991.9626
2019-01-01 04 A,1989.9875
2019-01-01 05 A,2137.384
2019-01-01 06 A,2217.6848
2019-01-01 07 A,2234.481
2019-01-01 08 A,2632.1047
2019-01-01 09 A,2757.4172
2019-01-01 10 A,2757.8606
2019-01-01 11 A,2697.7515
2019-01-01 12 A,2519.6018
2019-01-01 13 A,2381.5518
2019-01-01 14 A,2282.5562
2019-01-01 15 A,2149.46
2019-01-01 16 A,2100.7852
2019-01-01 17 A,2175.1687
2019-01-01 18 A,2428.329
2019-01-01 19 A,2708.5146
2019-01-01 20 A,2729.8645
2019-01-01 21 A,2691.5073
2019-01-01 22 A,2627.4658
2019-01-01 23 A,2478.8599
2019-01-01 24 A,2351.976
2019-01-02 01 A,2458.0005
2019-01-02 02 A,2233.1702
2019-01-02 03 A,2142.5852
2019-01-02 04 A,2245.7285
2019-01-02 05 A,2448.2
2019-01-02 06 A,2623.6482
2019-01-02 07 A,2861.4875
2019-01-02 08 A,3329.125
2019-01-02 09 A,3496.556
2019-01-02 10 A,3413.515
2019-01-02 11 A,3309.5635
2019-01-02 12 A,3075.2402
2019-01-02 13 A,2949.4275
2019-01-02 14 A,2820.2322
2019-01-02 15 A,2660.6047
2019-01-02 16 A,2633.2822
2019-01-02 17 A,2706.1667
2019-01-02 18 A,2942.0613
2019-01-02 19 A,3254.7097
2019-01-02 20 A,3327.3557
2019-01-02 21 A,3292.5735
2019-01-02 22 A,3229.0193
2019-01-02 23 A,3137.3518
2019-01-02 24 A,2927.809
2019-01-03 01 A,2722.6667
2019-01-03 02 A,2430.2368
2019-01-03 03 A,2351.6116
2019-01-03 04 A,2379.543
2019-01-03 05 A,2572.009
2019-01-03 06 A,2740.9753
2019-01-03 07 A,3049.4788
2019-01-03 08 A,3522.791
2019-01-03 09 A,3600.118
2019-01-03 10 A,3494.0002
2019-01-03 11 A,3368.268
2019-01-03 12 A,3057.1787
2019-01-03 13 A,2933.6765
2019-01-03 14 A,2803.1716
2019-01-03 15 A,2630.907
2019-01-03 16 A,2600.1626
2019-01-03 17 A,2695.8877
2019-01-03 18 A,2944.9915
2019-01-03 19 A,3260.7412
2019-01-03 20 A,3333.2043
2019-01-03 21 A,3285.943
2019-01-03 22 A,3212.3577
2019-01-03 23 A,3121.3213
2019-01-03 24 A,2973.279
2019-01-04 01 A,2645.1821
2019-01-04 02 A,2389.2693
2019-01-04 03 A,2309.4463
2019-01-04 04 A,2339.375
2019-01-04 05 A,2539.4702
