iter	MultiClass
0	1.046738614
1	1.004833215
2	0.9721064486
3	0.9455591382
4	0.9238954003
5	0.9049532426
6	0.889253939
7	0.8761452018
8	0.8651269186
9	0.8561732836
10	0.8483198564
11	0.8416772293
12	0.8358365062
13	0.8313262472
14	0.8273212342
15	0.8236632726
16	0.8206770275
17	0.8181734547
18	0.8160252211
19	0.814279069
20	0.8123273834
21	0.8106012675
22	0.8095014648
23	0.808595152
24	0.8074500144
25	0.8062826657
26	0.805265581
27	0.8045765991
28	0.8040108244
29	0.8032730392
30	0.802516279
31	0.8018295938
32	0.8013007477
33	0.8009278477
34	0.8004542915
35	0.7999867033
36	0.7992750455
37	0.7988346511
38	0.7983182079
39	0.7977326136
40	0.7972897054
41	0.7968478416
42	0.7964065935
43	0.7961034708
44	0.7957865104
45	0.7954214489
46	0.7951685554
47	0.7947985314
48	0.7944750063
49	0.7939076213
50	0.7937595478
51	0.7935566628
52	0.7932480158
53	0.792820003
54	0.7924135579
55	0.7920840875
56	0.7918396624
57	0.7914582411
58	0.7911019055
59	0.7908199384
60	0.7905447373
61	0.7900433868
62	0.7898061043
63	0.7892749132
64	0.7889980043
65	0.7887910301
66	0.7884818526
67	0.7880132526
68	0.7875978589
69	0.7873132117
70	0.7867139397
71	0.7863302908
72	0.7857747798
73	0.7853888097
74	0.7848972909
75	0.7843042481
76	0.7839368006
77	0.7836722626
78	0.7834115524
79	0.7832153627
80	0.7829355284
81	0.7827658201
82	0.7822623934
83	0.781819939
84	0.781642946
85	0.7814181911
86	0.7811279493
87	0.7808307068
88	0.7805777244
89	0.7802580589
90	0.7800043303
91	0.7794657445
92	0.7791344643
93	0.7789863597
94	0.7785243231
95	0.7782704933
96	0.7780219632
97	0.7778530532
98	0.7774996794
99	0.7773445332
100	0.776792875
101	0.7764426267
102	0.7760996252
103	0.7759306688
104	0.7754662815
105	0.7751076484
106	0.7747780181
107	0.7744668537
108	0.7741716088
109	0.7739892269
110	0.7737624205
111	0.7732315442
112	0.7731319909
113	0.7729268854
114	0.7726071176
115	0.7720402369
116	0.7717611705
117	0.7714424727
118	0.7712282142
119	0.7709967488
120	0.7707625604
121	0.7705521504
122	0.7701751181
123	0.7699115381
124	0.7695638883
125	0.7693370205
126	0.768958826
127	0.7686981292
128	0.7681469822
129	0.7680109804
130	0.7677552409
131	0.7674614944
132	0.7670765147
133	0.7668540689
134	0.7664064324
135	0.7662381329
136	0.7658500486
137	0.7655507983
138	0.7654010377
139	0.7651884443
140	0.7647529112
141	0.7643128897
142	0.7637595269
143	0.7634319247
144	0.7631922267
145	0.7630009555
146	0.762663302
147	0.762428092
148	0.762055033
149	0.7617863061
150	0.7614300985
151	0.7611348585
152	0.7608827676
153	0.7605737904
154	0.760437497
155	0.7601900177
156	0.7598918494
157	0.7596619164
158	0.7592334027
159	0.7587128898
160	0.7583787606
161	0.758215835
162	0.7578375822
163	0.7575898358
164	0.7571954734
165	0.7569207291
166	0.7565242738
167	0.756222598
168	0.75572077
169	0.7553617083
170	0.7551826093
171	0.7545495167
172	0.754278723
173	0.753865774
174	0.7532925782
175	0.7531205546
176	0.7524694405
177	0.7522690458
178	0.7520306211
179	0.7520080833
180	0.7517243759
181	0.7513195014
182	0.7510935404
183	0.7507215701
184	0.7504881727
185	0.7500639924
186	0.7498323392
187	0.7494730031
188	0.7492257422
189	0.7489543161
190	0.7487718588
191	0.7484795723
192	0.7482800947
193	0.7480845846
194	0.7477699964
195	0.7475595646
196	0.7472181918
197	0.7469764926
198	0.7467680331
199	0.7465656003
200	0.7463823869
201	0.7460314122
202	0.7455517315
203	0.7449647607
204	0.7447125191
205	0.7443251515
206	0.7440445079
207	0.7437287184
208	0.7433480554
209	0.7431705234
210	0.7430388923
211	0.7428029329
212	0.7425627237
213	0.7423462079
214	0.7421683473
215	0.7419908184
216	0.7416821243
217	0.7414094124
218	0.7412178082
219	0.7409586084
220	0.7406754623
221	0.7405262543
222	0.7401300747
223	0.7399802307
224	0.7396714963
225	0.7393717658
226	0.7390910157
227	0.7388945893
228	0.7387057436
229	0.7383746662
230	0.738067084
231	0.7378533995
232	0.7377347359
233	0.7373732388
234	0.7372206983
235	0.73701022
236	0.7368116189
237	0.7365343103
238	0.7363535855
239	0.7361155094
240	0.7357211789
241	0.7355238044
242	0.7352837715
243	0.7350130773
244	0.7348414169
245	0.7346606259
246	0.7343846399
247	0.7341071862
248	0.7338572145
249	0.7336151296
250	0.733444569
251	0.7331802967
252	0.7330559164
253	0.7329726377
254	0.7327160787
255	0.7323639174
256	0.7321851816
257	0.7317687815
258	0.7314951555
259	0.7312649535
260	0.7309408299
261	0.7308473694
262	0.7307249363
263	0.7305181549
264	0.7303430934
265	0.7301358894
266	0.72998725
267	0.729787442
268	0.7294937513
269	0.7293590378
270	0.7291168282
271	0.7289204902
272	0.7286088982
273	0.7282110573
274	0.7280664639
275	0.7279147664
276	0.7276167782
277	0.7274292055
278	0.7272402595
279	0.72691574
280	0.7266552665
281	0.7263887109
282	0.7262965761
283	0.7260276577
284	0.7257987942
285	0.7254452561
286	0.7253364484
287	0.7249963718
288	0.724822054
289	0.7244852012
290	0.7241712894
291	0.7240251456
292	0.7237733511
293	0.7233812031
294	0.7229788956
295	0.7227986699
296	0.722373781
297	0.7219928022
298	0.721602878
299	0.7214050541
300	0.7212240686
301	0.7210304039
302	0.7206741368
303	0.7203141471
304	0.7200079943
305	0.7197554997
306	0.7195933164
307	0.7193355343
308	0.7190319279
309	0.7189010184
310	0.7185296646
311	0.7182185422
312	0.7180068146
313	0.7177210581
314	0.7175308952
315	0.7174140661
316	0.7171380585
317	0.7169304099
318	0.7167402554
319	0.7165229844
320	0.7162560852
321	0.7158971326
322	0.7157181613
323	0.7156575002
324	0.7154756064
325	0.715144731
326	0.7148036466
327	0.7145654638
328	0.7143418522
329	0.7141427499
330	0.7139150997
331	0.7136722854
332	0.7135220585
333	0.7133646804
334	0.7131986129
335	0.71295741
336	0.7127071923
337	0.712562464
338	0.7122642523
339	0.7121666294
340	0.711619916
341	0.7114778781
342	0.7112089218
343	0.7110276302
344	0.7109543344
345	0.7107881652
346	0.7105755253
347	0.7102985635
348	0.7100623191
349	0.7098868126
350	0.7096750252
351	0.7093909376
352	0.7093022852
353	0.7090944536
354	0.7087836939
355	0.7084704374
356	0.7082082682
357	0.707912183
358	0.7076336326
359	0.7073018734
360	0.7071117629
361	0.7067863507
362	0.7066764512
363	0.7065184674
364	0.7063381778
365	0.7059536796
366	0.7057079969
367	0.7054971509
368	0.7053881357
369	0.7051857937
370	0.7048897735
371	0.7047009743
372	0.7046192474
373	0.7043407896
374	0.703958704
375	0.7037647307
376	0.7035724043
377	0.7033317346
378	0.7031188857
379	0.7028169157
380	0.7026710807
381	0.7023402265
382	0.7022520055
383	0.7019121489
384	0.701678396
385	0.7015094124
386	0.7012869315
387	0.7009803645
388	0.7008361464
389	0.7005585077
390	0.7003994874
391	0.7001168051
392	0.6999047106
393	0.6996186535
394	0.6994258787
395	0.6992347833
396	0.6991282132
397	0.6988772092
398	0.6986662103
399	0.6986184684
400	0.6982380534
401	0.6980779873
402	0.6978825959
403	0.697744794
404	0.6976135748
405	0.6974125218
406	0.6972274255
407	0.6969269662
408	0.696631365
409	0.6963627813
410	0.6961881304
