iter	Passed	Remaining
0	18	18014
1	31	15495
2	44	14920
3	52	13063
4	65	13120
5	77	12912
6	90	12901
7	101	12643
8	115	12715
9	130	12893
10	141	12757
11	152	12569
12	164	12478
13	176	12442
14	190	12502
15	205	12654
16	218	12618
17	233	12731
18	250	12957
19	267	13110
20	286	13338
21	303	13477
22	318	13513
23	334	13600
24	350	13671
25	364	13657
26	377	13603
27	390	13562
28	403	13515
29	416	13482
30	430	13469
31	444	13432
32	457	13399
33	471	13384
34	484	13347
35	496	13299
36	510	13297
37	525	13301
38	537	13253
39	552	13261
40	569	13331
41	585	13361
42	598	13321
43	611	13286
44	626	13287
45	641	13304
46	655	13300
47	670	13294
48	684	13282
49	700	13309
50	714	13299
51	731	13340
52	746	13340
53	761	13334
54	776	13334
55	792	13356
56	806	13347
57	821	13341
58	834	13303
59	849	13315
60	865	13325
61	881	13334
62	896	13326
63	909	13301
64	922	13275
65	934	13230
66	948	13214
67	964	13215
68	976	13179
69	993	13204
70	1011	13237
71	1027	13248
72	1044	13260
73	1059	13256
74	1076	13271
75	1092	13284
76	1108	13285
77	1123	13280
78	1137	13265
79	1153	13261
80	1169	13271
81	1184	13258
82	1200	13268
83	1218	13288
84	1235	13295
85	1251	13300
86	1267	13305
87	1282	13295
88	1299	13299
89	1315	13298
90	1328	13274
91	1346	13286
92	1362	13286
93	1374	13244
94	1389	13232
95	1407	13254
96	1423	13247
97	1440	13262
98	1454	13241
99	1469	13226
100	1483	13202
101	1495	13162
102	1508	13139
103	1522	13114
104	1536	13094
105	1550	13073
106	1563	13047
107	1579	13041
108	1595	13041
109	1608	13016
110	1621	12987
111	1636	12977
112	1649	12949
113	1666	12952
114	1681	12940
115	1697	12936
116	1710	12907
117	1722	12873
118	1736	12856
119	1750	12834
120	1763	12814
121	1779	12804
122	1794	12795
123	1807	12767
124	1820	12741
125	1834	12721
126	1846	12692
127	1860	12673
128	1874	12655
129	1885	12621
130	1900	12606
131	1914	12589
132	1928	12572
133	1943	12557
134	1961	12567
135	1975	12548
136	1990	12537
137	2004	12519
138	2019	12512
139	2035	12501
140	2051	12500
141	2067	12492
142	2081	12472
143	2094	12449
144	2108	12434
145	2124	12425
146	2138	12409
147	2151	12385
148	2164	12360
149	2179	12348
150	2194	12340
151	2208	12321
152	2221	12299
153	2234	12274
154	2248	12259
155	2263	12245
156	2280	12246
157	2295	12234
158	2308	12211
159	2325	12209
160	2338	12185
